hr,alt_name,ra_ysb,dec_ysb,vmag,bv_color,parallax_ysb,ra_simbad,dec_simbad,parallax_simbad,iau_name,origin,note,source,constellation_common_name,constellation_alt_name,asterism
HR118,,7.5946,-23.7878,5.19,0.12,0.018,7.594396164080001,-22.21231849716,18.5351,,,,,,,
HR1180,28    Tau,57.2967,24.1367,5.09,-0.08,-0.012,57.296735824129996,24.13671019778,7.2414,Pleione,,,,Taurus,Tau,
HR1181,28Tau7Eri,56.915,-23.8747,5.24,0.07,0.014,56.91520872628,-22.12532253698,12.5218,,,,,Eridanus,Eri,
HR1182,,57.1621,0.2278,5.91,1.23,,57.16230721054,0.22786064820000002,7.1731,,,,,,,
HR1183,,57.4313,23.7117,6.17,-0.05,,57.431381619839996,23.71185213791,7.4625,,,,,,,
HR1184,Rho For,56.9833,-30.1678,5.54,0.98,0.008,56.983501384149996,-29.83211720883,11.5326,,,,,Fornax,For,
HR1185,,57.4792,22.2444,6.07,-0.01,,57.479456309499994,22.24414890724,7.4144,,,,,,,
HR1186,,56.9567,-36.1058,6.21,-0.1,,56.956755576569996,-35.89419736157,6.3182,,,,,,,
HR1187,,57.1492,-20.9031,5.81,1.64,,57.14876497808999,-19.097022858200003,3.6463,,,,,,,
HR1188,,57.5788,25.5794,5.26,0.21,0.018,57.57892175,25.579374416666667,17.71,,,,,,,
HR1189,,57.1475,-37.6222,5.4,0.01,0.024,57.147823695549995,-36.377996552729996,18.7976,,,,,,,
HR119,,7.6158,-40.9394,6.19,0.33,,7.6159384826,-39.06041553024,7.4361,,,,,,,
HR1190,,57.1496,-37.6206,4.73,-0.03,0.024,57.149475080129996,-36.37985670846,18.8093,,,,,,,
HR1191,,57.9738,34.3592,5.77,0.0,,57.973828065270006,34.35911759721,2.7381,,,,,,,
HR1192,,58.4304,57.975,5.8,0.18,,58.43035937308,57.97514619358,18.5633,,,,,,,
HR1193,,57.9025,22.0317,6.83,,,57.902591231150005,22.03135425687,7.2481,,,,,,,
HR1194,,57.8158,13.0458,6.3,-0.07,,57.816128363430835,13.04607656336639,6.192,,,,,,,
HR1195,,57.3638,-36.2003,4.17,0.95,0.025,57.36352607903708,-35.79974325803,14.9781,,,,,,,
